regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate,newCasesBySpecimenDateRollingSum
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001280,Timperley East,msoa,2023-04-01,35.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001282,Altrincham East,msoa,2023-04-01,39,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001283,"Altrincham West, Dunham & Warburton",msoa,2023-04-01,30.6,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001262,Firswood,msoa,2023-03-25,34.4,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-03-25,71.8,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001264,Trafford Park East & Sevenways,msoa,2023-03-25,70.5,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001265,Flixton & Moorside,msoa,2023-03-25,74.3,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-03-25,190.5,14
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001269,Stretford East,msoa,2023-03-25,35.7,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001271,Ashton upon Mersey North,msoa,2023-03-25,61.5,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001272,Sale East,msoa,2023-03-25,72.2,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-03-25,29,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001274,Ashton upon Mersey South,msoa,2023-03-25,49.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001275,Partington,msoa,2023-03-25,58.7,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001276,Sale Moor,msoa,2023-03-25,60.4,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-03-25,92.9,9
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001279,Timperley North,msoa,2023-03-25,35.3,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001282,Altrincham East,msoa,2023-03-25,48.7,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001284,Hale,msoa,2023-03-25,35.5,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001286,Hale Barns,msoa,2023-03-25,60,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001260,Trafford Park West & Kingsway Park,msoa,2023-03-18,52.2,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001261,Gorse Hill,msoa,2023-03-18,34.9,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001263,Davyhulme,msoa,2023-03-18,47.9,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001267,Urmston East,msoa,2023-03-18,68,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001269,Stretford East,msoa,2023-03-18,35.7,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001270,Sale North,msoa,2023-03-18,46.6,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001271,Ashton upon Mersey North,msoa,2023-03-18,61.5,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001272,Sale East,msoa,2023-03-18,48.1,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001273,Sale Central,msoa,2023-03-18,29,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001274,Ashton upon Mersey South,msoa,2023-03-18,98.5,8
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001275,Partington,msoa,2023-03-18,35.2,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001276,Sale Moor,msoa,2023-03-18,48.3,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001277,Broadheath & Firsway,msoa,2023-03-18,31,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001278,West Timperley,msoa,2023-03-18,68.6,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001280,Timperley East,msoa,2023-03-18,47.4,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001281,Timperley South,msoa,2023-03-18,52.1,4
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001282,Altrincham East,msoa,2023-03-18,58.4,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001283,"Altrincham West, Dunham & Warburton",msoa,2023-03-18,61.3,6
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001284,Hale,msoa,2023-03-18,59.1,5
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001286,Hale Barns,msoa,2023-03-18,36,3
E12000002,North West,E08000009,Trafford,E08000009,Trafford,E02001259,Old Trafford,msoa,2023-03-11,78.3,9
