areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E08000009,Trafford,ltla,2023-11-24,00_04,1,2,14.2
E08000009,Trafford,ltla,2023-11-24,00_59,1,10,5.5
E08000009,Trafford,ltla,2023-11-24,05_09,0,0,0
E08000009,Trafford,ltla,2023-11-24,10_14,0,1,5.9
E08000009,Trafford,ltla,2023-11-24,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-24,20_24,0,1,9.5
E08000009,Trafford,ltla,2023-11-24,25_29,0,0,0
E08000009,Trafford,ltla,2023-11-24,30_34,0,1,7
E08000009,Trafford,ltla,2023-11-24,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-11-24,40_44,0,3,17.4
E08000009,Trafford,ltla,2023-11-24,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-24,50_54,0,0,0
E08000009,Trafford,ltla,2023-11-24,55_59,0,1,6.2
E08000009,Trafford,ltla,2023-11-24,60+,0,8,14.7
E08000009,Trafford,ltla,2023-11-24,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-11-24,65_69,0,3,27.8
E08000009,Trafford,ltla,2023-11-24,70_74,0,2,18.7
E08000009,Trafford,ltla,2023-11-24,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-24,80_84,0,0,0
E08000009,Trafford,ltla,2023-11-24,85_89,0,2,52.9
E08000009,Trafford,ltla,2023-11-24,90+,0,0,0
E08000009,Trafford,ltla,2023-11-24,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-23,00_04,0,1,7.1
E08000009,Trafford,ltla,2023-11-23,00_59,2,9,4.9
E08000009,Trafford,ltla,2023-11-23,05_09,0,0,0
E08000009,Trafford,ltla,2023-11-23,10_14,1,1,5.9
E08000009,Trafford,ltla,2023-11-23,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-23,20_24,0,1,9.5
E08000009,Trafford,ltla,2023-11-23,25_29,0,0,0
E08000009,Trafford,ltla,2023-11-23,30_34,0,1,7
E08000009,Trafford,ltla,2023-11-23,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-11-23,40_44,0,3,17.4
E08000009,Trafford,ltla,2023-11-23,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-23,50_54,0,0,0
E08000009,Trafford,ltla,2023-11-23,55_59,1,1,6.2
E08000009,Trafford,ltla,2023-11-23,60+,1,8,14.7
E08000009,Trafford,ltla,2023-11-23,60_64,0,1,7.7
E08000009,Trafford,ltla,2023-11-23,65_69,0,3,27.8
E08000009,Trafford,ltla,2023-11-23,70_74,1,2,18.7
E08000009,Trafford,ltla,2023-11-23,75_79,0,0,0
E08000009,Trafford,ltla,2023-11-23,80_84,0,0,0
E08000009,Trafford,ltla,2023-11-23,85_89,0,2,52.9
E08000009,Trafford,ltla,2023-11-23,90+,0,0,0
E08000009,Trafford,ltla,2023-11-23,unassigned,0,0,NA
E08000009,Trafford,ltla,2023-11-22,00_04,1,1,7.1
E08000009,Trafford,ltla,2023-11-22,00_59,2,8,4.4
E08000009,Trafford,ltla,2023-11-22,05_09,0,0,0
E08000009,Trafford,ltla,2023-11-22,10_14,0,0,0
E08000009,Trafford,ltla,2023-11-22,15_19,0,0,0
E08000009,Trafford,ltla,2023-11-22,20_24,0,1,9.5
E08000009,Trafford,ltla,2023-11-22,25_29,0,0,0
E08000009,Trafford,ltla,2023-11-22,30_34,1,2,13.9
E08000009,Trafford,ltla,2023-11-22,35_39,0,1,5.8
E08000009,Trafford,ltla,2023-11-22,40_44,0,3,17.4
E08000009,Trafford,ltla,2023-11-22,45_49,0,0,0
E08000009,Trafford,ltla,2023-11-22,50_54,0,0,0
E08000009,Trafford,ltla,2023-11-22,55_59,0,0,0
E08000009,Trafford,ltla,2023-11-22,60+,1,7,12.9
E08000009,Trafford,ltla,2023-11-22,60_64,0,1,7.7
